domain,algorithm,count,num_tokens
bio,SynthID,15,6
bio,SynthID,16,3
bio,SynthID,17,4
bio,SynthID,18,4
bio,SynthID,19,3
bio,SynthID,20,3
bio,SynthID,21,4
bio,SynthID,23,2
bio,SynthID,24,1
bio,SynthID,25,2
bio,SynthID,26,3
bio,SynthID,27,3
bio,SynthID,28,3
bio,SynthID,29,3
bio,SynthID,30,1
bio,SynthID,31,2
bio,SynthID,32,1
bio,SynthID,33,1
bio,SynthID,36,1
bio,SynthID,39,1
bio,SynthID,42,1
bio,SynthID,46,3
bio,SynthID,48,1
bio,SynthID,51,1
bio,SynthID,55,1
bio,SynthID,56,1
bio,SynthID,57,1
bio,SynthID,67,1
bio,SynthID,85,1
bio,SynthID,94,1
bio,Unigram,1,539
bio,Unigram,2,223
bio,Unigram,3,96
bio,Unigram,4,59
bio,Unigram,5,45
bio,Unigram,6,41
bio,Unigram,7,23
bio,Unigram,8,19
bio,Unigram,9,21
bio,Unigram,10,15
bio,Unigram,11,13
bio,Unigram,12,7
bio,Unigram,13,7
bio,Unigram,14,12
bio,Unigram,15,9
bio,Unigram,16,4
bio,Unigram,17,2
bio,Unigram,18,4
bio,Unigram,19,8
bio,Unigram,20,5
bio,Unigram,21,8
bio,Unigram,22,4
bio,Unigram,23,4
bio,Unigram,24,2
bio,Unigram,25,2
bio,Unigram,26,1
bio,Unigram,27,2
bio,Unigram,28,1
bio,Unigram,29,1
bio,Unigram,30,3
bio,Unigram,31,1
bio,Unigram,32,2
bio,Unigram,34,1
bio,Unigram,35,1
bio,Unigram,36,2
bio,Unigram,37,1
bio,Unigram,38,2
bio,Unigram,39,3
bio,Unigram,41,1
bio,Unigram,47,1
bio,Unigram,48,1
bio,Unigram,52,1
bio,Unigram,53,1
bio,Unigram,54,1
bio,Unigram,58,1
bio,Unigram,59,1
bio,Unigram,63,2
bio,Unigram,67,1
bio,Unigram,70,1
bio,Unigram,77,2
bio,Unigram,80,1
bio,Unigram,81,1
bio,Unigram,83,1
bio,Unigram,86,2
bio,Unigram,96,1
bio,Unigram,101,1
bio,Unigram,139,1
bio,Unigram,196,1
med,EXP,1,1734
med,EXP,2,559
med,EXP,3,272
med,EXP,4,144
med,EXP,5,101
med,EXP,6,72
med,EXP,7,57
med,EXP,8,41
med,EXP,9,36
med,EXP,10,23
med,EXP,11,16
med,EXP,12,11
med,EXP,13,14
med,EXP,14,11
med,EXP,15,14
med,EXP,16,15
med,EXP,17,10
med,EXP,18,5
med,EXP,19,2
med,EXP,20,5
med,EXP,21,6
med,EXP,22,6
med,EXP,23,3
med,EXP,24,4
med,EXP,25,2
med,EXP,26,1
med,EXP,28,1
med,EXP,29,2
med,EXP,30,1
med,EXP,31,2
med,EXP,34,3
med,EXP,35,3
med,EXP,36,1
med,EXP,38,1
med,EXP,39,2
med,EXP,40,1
med,EXP,41,1
med,EXP,42,1
med,EXP,43,1
med,EXP,44,1
med,EXP,47,1
med,EXP,50,1
med,EXP,51,1
med,EXP,52,1
med,EXP,54,1
med,EXP,55,2
med,EXP,56,1
med,EXP,59,1
med,EXP,68,1
med,EXP,69,1
med,EXP,72,1
med,EXP,82,1
med,KGW,1,882
med,KGW,2,254
med,KGW,3,154
med,KGW,4,86
med,KGW,5,49
med,KGW,6,38
med,KGW,7,28
med,KGW,8,17
med,KGW,9,15
med,KGW,10,12
med,KGW,11,5
med,KGW,12,10
med,KGW,13,8
med,KGW,14,6
med,KGW,15,6
med,KGW,16,2
med,KGW,17,4
med,KGW,18,2
med,KGW,19,3
med,KGW,21,1
med,KGW,22,2
med,KGW,23,1
med,KGW,24,1
med,KGW,25,2
med,KGW,26,2
med,KGW,27,1
med,KGW,32,1
med,KGW,33,2
med,KGW,34,1
med,KGW,35,2
med,KGW,38,2
med,KGW,40,2
med,KGW,41,2
med,KGW,43,2
med,KGW,44,1
med,KGW,46,3
med,KGW,50,1
med,KGW,56,2
med,KGW,59,1
med,KGW,63,1
med,KGW,65,1
med,KGW,70,1
med,KGW,86,1
med,KGW,91,1
med,KGW,135,2
med,KGW,143,1
med,KGW,187,1
med,KGW,224,1
med,SWEET,1,768
med,SWEET,2,231
med,SWEET,3,123
med,SWEET,4,68
med,SWEET,5,49
med,SWEET,6,27
med,SWEET,7,20
med,SWEET,8,11
med,SWEET,9,7
med,SWEET,10,2
med,SWEET,11,7
med,SWEET,12,1
med,SWEET,13,5
med,SWEET,14,5
med,SWEET,15,2
med,SWEET,16,1
med,SWEET,17,7
med,SWEET,18,2
med,SWEET,19,1
med,SWEET,20,2
med,SWEET,22,3
med,SWEET,23,1
med,SWEET,25,1
med,SWEET,27,3
med,SWEET,28,1
med,SWEET,30,1
med,SWEET,32,2
med,SWEET,36,1
med,SWEET,37,1
med,SWEET,40,1
med,SWEET,42,1
med,SWEET,43,1
med,SWEET,49,1
med,SWEET,55,1
med,SWEET,61,2
med,SWEET,68,2
med,SWEET,74,1
med,SWEET,78,1
med,SWEET,83,1
med,SWEET,84,1
med,SWEET,87,1
med,SWEET,111,1
med,SWEET,135,1
med,SWEET,264,1
med,SynthID,1,897
med,SynthID,2,306
med,SynthID,3,146
med,SynthID,4,93
med,SynthID,5,43
med,SynthID,6,32
med,SynthID,7,27
med,SynthID,8,17
med,SynthID,9,18
med,SynthID,10,10
med,SynthID,11,12
med,SynthID,12,4
med,SynthID,13,4
med,SynthID,15,7
med,SynthID,16,6
med,SynthID,17,7
med,SynthID,18,3
med,SynthID,19,4
med,SynthID,20,4
med,SynthID,21,2
med,SynthID,22,2
med,SynthID,23,4
med,SynthID,27,3
med,SynthID,28,1
med,SynthID,29,2
med,SynthID,30,3
med,SynthID,31,1
med,SynthID,33,1
med,SynthID,34,2
med,SynthID,39,2
med,SynthID,42,1
med,SynthID,52,1
med,SynthID,53,2
med,SynthID,55,1
med,SynthID,59,1
med,SynthID,68,2
med,SynthID,76,1
med,SynthID,77,1
med,Unigram,1,644
med,Unigram,2,208
med,Unigram,3,133
med,Unigram,4,74
med,Unigram,5,42
med,Unigram,6,34
med,Unigram,7,23
med,Unigram,8,17
med,Unigram,9,16
med,Unigram,10,14
med,Unigram,11,9
med,Unigram,12,10
med,Unigram,13,11
med,Unigram,14,9
med,Unigram,15,9
med,Unigram,16,7
med,Unigram,17,3
med,Unigram,18,5
med,Unigram,19,4
med,Unigram,20,2
med,Unigram,21,1
med,Unigram,22,2
med,Unigram,23,2
med,Unigram,24,1
med,Unigram,25,2
med,Unigram,26,2
med,Unigram,28,2
med,Unigram,29,4
med,Unigram,30,4
med,Unigram,31,1
med,Unigram,32,1
med,Unigram,34,1
med,Unigram,35,2
med,Unigram,38,1
med,Unigram,39,1
med,Unigram,42,1
med,Unigram,49,1
med,Unigram,51,1
med,Unigram,53,1
med,Unigram,55,3
med,Unigram,56,2
med,Unigram,62,1
med,Unigram,71,1
med,Unigram,75,1
med,Unigram,80,1
med,Unigram,87,1
med,Unigram,90,1
med,Unigram,100,1
med,Unigram,108,1
med,Unigram,113,1
med,Unigram,114,1
med,Unigram,122,1
med,Unigram,134,1
med,Unigram,193,1
mis,EXP,1,2014
mis,EXP,2,642
mis,EXP,3,314
mis,EXP,4,175
mis,EXP,5,115
mis,EXP,6,62
mis,EXP,7,49
mis,EXP,8,36
mis,EXP,9,29
mis,EXP,10,23
mis,EXP,11,16
mis,EXP,12,21
mis,EXP,13,9
mis,EXP,14,19
mis,EXP,15,9
mis,EXP,16,5
mis,EXP,17,7
mis,EXP,18,12
mis,EXP,19,10
mis,EXP,20,4
mis,EXP,21,5
mis,EXP,22,2
mis,EXP,23,2
mis,EXP,24,5
mis,EXP,25,2
mis,EXP,26,2
mis,EXP,27,3
mis,EXP,28,1
mis,EXP,29,3
mis,EXP,30,1
mis,EXP,31,4
mis,EXP,32,1
mis,EXP,33,2
mis,EXP,35,1
mis,EXP,37,4
mis,EXP,38,2
mis,EXP,39,2
mis,EXP,40,1
mis,EXP,41,1
mis,EXP,44,1
mis,EXP,46,1
mis,EXP,47,1
mis,EXP,48,1
mis,EXP,50,1
mis,EXP,53,1
mis,EXP,56,1
mis,EXP,62,1
mis,EXP,64,1
mis,EXP,77,1
mis,EXP,84,1
mis,EXP,94,1
mis,EXP,103,1
mis,EXP,105,1
mis,KGW,1,847
mis,KGW,2,243
mis,KGW,3,136
mis,KGW,4,85
mis,KGW,5,43
mis,KGW,6,29
mis,KGW,7,21
mis,KGW,8,16
mis,KGW,9,15
mis,KGW,10,12
mis,KGW,11,8
mis,KGW,12,5
mis,KGW,13,8
mis,KGW,14,6
mis,KGW,15,5
mis,KGW,16,7
mis,KGW,18,2
mis,KGW,19,2
mis,KGW,20,1
mis,KGW,21,2
mis,KGW,22,1
mis,KGW,23,2
mis,KGW,24,1
mis,KGW,25,2
mis,KGW,27,1
mis,KGW,29,1
mis,KGW,33,1
mis,KGW,34,4
mis,KGW,38,1
mis,KGW,39,2
mis,KGW,41,1
mis,KGW,44,1
mis,KGW,47,1
mis,KGW,48,1
mis,KGW,51,1
mis,KGW,52,1
mis,KGW,56,1
mis,KGW,71,1
mis,KGW,82,1
mis,KGW,95,1
mis,KGW,104,1
mis,KGW,112,2
mis,KGW,133,1
mis,KGW,167,1
mis,SWEET,1,773
mis,SWEET,2,220
mis,SWEET,3,98
mis,SWEET,4,55
mis,SWEET,5,27
mis,SWEET,6,22
mis,SWEET,7,18
mis,SWEET,8,10
mis,SWEET,9,10
mis,SWEET,10,10
mis,SWEET,11,2
mis,SWEET,12,5
mis,SWEET,13,3
mis,SWEET,14,3
mis,SWEET,15,1
mis,SWEET,16,2
mis,SWEET,17,4
mis,SWEET,18,4
mis,SWEET,19,1
mis,SWEET,21,1
mis,SWEET,23,1
mis,SWEET,24,1
mis,SWEET,26,1
mis,SWEET,27,2
mis,SWEET,28,2
mis,SWEET,30,2
mis,SWEET,31,1
mis,SWEET,39,3
mis,SWEET,49,1
mis,SWEET,74,1
mis,SWEET,86,1
mis,SWEET,101,1
mis,SWEET,106,1
mis,SWEET,107,1
mis,SWEET,118,1
mis,SWEET,120,1
mis,SWEET,171,1
mis,SWEET,174,1
mis,SynthID,1,922
mis,SynthID,2,262
mis,SynthID,3,132
mis,SynthID,4,83
mis,SynthID,5,38
mis,SynthID,6,35
mis,SynthID,7,18
mis,SynthID,8,19
mis,SynthID,9,10
mis,SynthID,10,14
mis,SynthID,11,9
mis,SynthID,12,8
mis,SynthID,13,11
mis,SynthID,14,7
mis,SynthID,15,3
mis,SynthID,16,5
mis,SynthID,17,4
mis,SynthID,18,2
mis,SynthID,19,5
mis,SynthID,20,2
mis,SynthID,21,4
mis,SynthID,22,3
mis,SynthID,23,2
mis,SynthID,24,1
mis,SynthID,26,2
mis,SynthID,27,3
mis,SynthID,29,2
mis,SynthID,30,1
mis,SynthID,31,2
mis,SynthID,35,1
mis,SynthID,36,1
mis,SynthID,37,1
mis,SynthID,39,1
mis,SynthID,46,2
mis,SynthID,50,1
mis,SynthID,51,1
mis,SynthID,54,1
mis,SynthID,55,1
mis,SynthID,56,1
mis,SynthID,58,1
mis,SynthID,74,1
mis,SynthID,86,1
mis,SynthID,90,1
mis,Unigram,1,594
mis,Unigram,2,230
mis,Unigram,3,105
mis,Unigram,4,65
mis,Unigram,5,61
mis,Unigram,6,30
mis,Unigram,7,13
mis,Unigram,8,15
mis,Unigram,9,19
mis,Unigram,10,13
mis,Unigram,11,11
mis,Unigram,12,8
mis,Unigram,13,11
mis,Unigram,14,5
mis,Unigram,15,9
mis,Unigram,16,4
mis,Unigram,17,1
mis,Unigram,18,2
mis,Unigram,19,2
mis,Unigram,20,1
mis,Unigram,21,2
mis,Unigram,23,3
mis,Unigram,24,2
mis,Unigram,25,2
mis,Unigram,26,1
mis,Unigram,28,2
mis,Unigram,29,2
mis,Unigram,31,1
mis,Unigram,32,2
mis,Unigram,33,1
mis,Unigram,34,1
mis,Unigram,35,2
mis,Unigram,36,3
mis,Unigram,38,1
mis,Unigram,39,1
mis,Unigram,43,1
mis,Unigram,47,1
mis,Unigram,48,1
mis,Unigram,49,2
mis,Unigram,53,2
mis,Unigram,58,1
mis,Unigram,59,1
mis,Unigram,64,1
mis,Unigram,70,1
mis,Unigram,73,1
mis,Unigram,77,1
mis,Unigram,80,1
mis,Unigram,81,1
mis,Unigram,112,1
mis,Unigram,127,1
mis,Unigram,150,1
mis,Unigram,166,1
security,EXP,1,1734
security,EXP,2,609
security,EXP,3,295
security,EXP,4,158
security,EXP,5,112
security,EXP,6,71
security,EXP,7,59
security,EXP,8,45
security,EXP,9,42
security,EXP,10,16
security,EXP,11,16
security,EXP,12,17
security,EXP,13,8
security,EXP,14,15
security,EXP,15,14
security,EXP,16,16
security,EXP,17,11
security,EXP,18,5
security,EXP,19,5
security,EXP,20,6
security,EXP,21,2
security,EXP,22,4
security,EXP,23,7
security,EXP,24,4
security,EXP,25,1
security,EXP,26,1
security,EXP,27,1
security,EXP,28,2
security,EXP,29,1
security,EXP,30,1
security,EXP,31,2
security,EXP,32,1
security,EXP,33,2
security,EXP,36,1
security,EXP,37,1
security,EXP,38,2
security,EXP,40,2
security,EXP,41,4
security,EXP,42,3
security,EXP,43,2
security,EXP,45,1
security,EXP,48,1
security,EXP,50,1
security,EXP,51,1
security,EXP,52,1
security,EXP,54,1
security,EXP,56,1
security,EXP,58,1
security,EXP,60,1
security,EXP,63,1
security,EXP,74,1
security,EXP,78,1
security,KGW,1,930
security,KGW,2,338
security,KGW,3,145
security,KGW,4,89
security,KGW,5,61
security,KGW,6,36
security,KGW,7,30
security,KGW,8,28
security,KGW,9,16
security,KGW,10,10
security,KGW,11,9
security,KGW,12,10
security,KGW,13,5
security,KGW,14,4
security,KGW,15,2
security,KGW,16,5
security,KGW,18,1
security,KGW,19,5
security,KGW,20,1
security,KGW,21,3
security,KGW,22,4
security,KGW,23,1
security,KGW,24,2
security,KGW,25,1
security,KGW,26,1
security,KGW,27,1
security,KGW,28,2
security,KGW,30,1
security,KGW,31,2
security,KGW,32,1
security,KGW,34,1
security,KGW,36,1
security,KGW,38,1
security,KGW,39,3
security,KGW,40,3
security,KGW,43,1
security,KGW,49,2
security,KGW,50,2
security,KGW,55,1
security,KGW,57,1
security,KGW,62,1
security,KGW,65,1
security,KGW,80,1
security,KGW,84,1
security,KGW,123,2
security,KGW,134,1
security,KGW,165,1
security,KGW,205,1
security,SWEET,1,901
security,SWEET,2,272
security,SWEET,3,121
security,SWEET,4,68
security,SWEET,5,41
security,SWEET,6,26
security,SWEET,7,18
security,SWEET,8,13
security,SWEET,9,9
security,SWEET,10,9
security,SWEET,11,7
security,SWEET,12,5
security,SWEET,13,2
security,SWEET,14,6
security,SWEET,15,4
security,SWEET,16,1
security,SWEET,17,2
security,SWEET,18,2
security,SWEET,19,3
security,SWEET,20,1
security,SWEET,21,1
security,SWEET,22,3
security,SWEET,23,3
security,SWEET,24,1
security,SWEET,25,2
security,SWEET,26,1
security,SWEET,27,1
security,SWEET,28,1
security,SWEET,29,1
security,SWEET,33,1
security,SWEET,37,1
security,SWEET,39,1
security,SWEET,43,1
security,SWEET,44,1
security,SWEET,50,1
security,SWEET,51,2
security,SWEET,52,1
security,SWEET,61,1
security,SWEET,65,1
security,SWEET,66,1
security,SWEET,75,2
security,SWEET,83,1
security,SWEET,96,1
security,SWEET,101,1
security,SWEET,114,1
security,SWEET,167,1
security,SWEET,262,1
security,SynthID,1,990
security,SynthID,2,322
security,SynthID,3,161
security,SynthID,4,84
security,SynthID,5,64
security,SynthID,6,28
security,SynthID,7,35
security,SynthID,8,17
security,SynthID,9,12
security,SynthID,10,13
security,SynthID,11,6
security,SynthID,12,3
security,SynthID,13,8
security,SynthID,14,10
security,SynthID,15,6
security,SynthID,16,3
security,SynthID,17,8
security,SynthID,18,8
security,SynthID,19,1
security,SynthID,20,2
security,SynthID,21,1
security,SynthID,22,3
security,SynthID,23,2
security,SynthID,24,3
security,SynthID,26,3
security,SynthID,29,1
security,SynthID,30,2
security,SynthID,31,1
security,SynthID,32,2
security,SynthID,35,1
security,SynthID,36,2
security,SynthID,38,1
security,SynthID,41,1
security,SynthID,42,1
security,SynthID,44,2
security,SynthID,49,1
security,SynthID,51,1
security,SynthID,52,1
security,SynthID,54,1
security,SynthID,60,1
security,SynthID,62,1
security,SynthID,64,1
security,SynthID,76,1
security,Unigram,1,668
security,Unigram,2,265
security,Unigram,3,129
security,Unigram,4,79
security,Unigram,5,55
security,Unigram,6,39
security,Unigram,7,34
security,Unigram,8,13
security,Unigram,9,20
security,Unigram,10,15
security,Unigram,11,10
security,Unigram,12,12
security,Unigram,13,4
security,Unigram,14,9
security,Unigram,15,8
security,Unigram,16,7
security,Unigram,17,3
security,Unigram,18,7
security,Unigram,19,7
security,Unigram,20,2
security,Unigram,21,2
security,Unigram,22,2
security,Unigram,23,4
security,Unigram,24,2
security,Unigram,25,4
security,Unigram,27,3
security,Unigram,28,3
security,Unigram,29,1
security,Unigram,30,3
security,Unigram,31,2
security,Unigram,33,1
security,Unigram,36,1
security,Unigram,38,1
security,Unigram,41,1
security,Unigram,42,1
security,Unigram,45,1
security,Unigram,48,2
security,Unigram,49,1
security,Unigram,51,1
security,Unigram,55,1
security,Unigram,57,1
security,Unigram,61,1
security,Unigram,63,1
security,Unigram,73,2
security,Unigram,74,1
security,Unigram,75,2
security,Unigram,77,1
security,Unigram,79,1
security,Unigram,87,1
security,Unigram,103,1
security,Unigram,119,1
security,Unigram,174,1
ai,EXP,TOTAL,2998
ai,KGW,TOTAL,1661
ai,SWEET,TOTAL,1445
ai,SynthID,TOTAL,1681
ai,Unigram,TOTAL,1321
bio,EXP,TOTAL,2837
bio,KGW,TOTAL,1496
bio,SWEET,TOTAL,1233
bio,SynthID,TOTAL,1594
bio,Unigram,TOTAL,1216
med,EXP,TOTAL,3198
med,KGW,TOTAL,1623
med,SWEET,TOTAL,1370
med,SynthID,TOTAL,1673
med,Unigram,TOTAL,1323
mis,EXP,TOTAL,3629
mis,KGW,TOTAL,1524
mis,SWEET,TOTAL,1292
mis,SynthID,TOTAL,1624
mis,Unigram,TOTAL,1244
security,EXP,TOTAL,3310
security,KGW,TOTAL,1769
security,SWEET,TOTAL,1545
security,SynthID,TOTAL,1815
security,Unigram,TOTAL,1437
