domain,algorithm,model,token_id,token,count,source_file
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2695,-w,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,12923,-weight,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,23681,.en,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,1087,.p,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,37055,.role,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,5221,.th,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,8404,.tr,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,30606,/media,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,5255,/or,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,4420,/p,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,72943,/up,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,15,0,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2839,03,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,16,1,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,9079,119,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,777,19,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,17,2,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,23,8,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,5833,84,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,128001,<|end_of_text|>,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,128009,<|eot_id|>,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,76238,\l,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,890,_b,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,33665,_operation,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,1117,_s,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,671,ab,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,72578,abbreviation,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,18000,abilities,5,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,5845,ability,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,481,able,4,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,75815,abnormalities,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,922,about,4,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,3485,above,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,60845,abruptly,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,28310,absent,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,35406,absorb,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,8278,abstract,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,14511,acceler,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,49858,accelerated,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,69741,accelerating,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2680,access,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,25790,accessed,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,15987,accessible,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,32888,accessing,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,29376,accommodate,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,22829,accomplish,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,61238,accomplishment,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,10771,according,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,28178,accordingly,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2759,account,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,41853,accounted,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,24043,accounting,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,41165,accumulated,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,13708,accuracy,6,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,13687,accurate,4,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,30357,accurately,5,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,4535,aced,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,72685,achie,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,89253,achievable,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,11322,achieve,6,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,17427,achieved,6,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,83691,achieves,5,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,32145,achieving,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,40488,acin,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,45166,acoustic,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,19426,acquired,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,4028,across,21,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,1180,act,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,15718,acting,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,6299,actions,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,72192,activating,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,5820,activity,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,14385,acts,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,5150,actual,4,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,3604,actually,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,39732,adap,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,10737,adapt,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,94848,adaptable,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,34185,adaptation,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,77765,adaptations,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,30464,adapted,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,70817,adapting,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,3779,added,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,5217,additional,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,23212,additionally,17,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2686,address,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,20669,addressed,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,14564,addresses,4,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,28118,addressing,4,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,11621,adds,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,76588,adept,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,49672,adequately,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,37314,adic,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2277,ading,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,7652,adjust,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,24257,adjusted,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,43468,adjusting,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,28174,adjustment,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,84431,adjusts,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,55689,admitting,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,48810,adopting,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,25375,adoption,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,11084,advanced,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,50925,advancement,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,83787,advancements,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,31003,advances,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,44169,advancing,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,22934,advantages,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,29511,advers,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,28424,advocates,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
