domain,algorithm,model,rank,token_id,token,count,source_file
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,21,3495,research,25,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,22,30714,propose,24,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,23,1005,use,24,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,24,706,has,24,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,25,11775,novel,24,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,26,810,more,23,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,27,12823,techniques,23,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,28,3196,based,21,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,29,4028,across,21,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,30,5370,various,20,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,31,4221,language,20,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,32,2204,different,20,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,33,4967,training,20,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,34,1405,where,20,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,35,3118,present,20,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,36,1101,also,19,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,37,1501,show,18,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,38,6975,learning,18,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,39,1139,into,18,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,40,1401,key,18,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,41,4007,study,17,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,42,1093,like,17,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,43,23212,additionally,17,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,44,13750,effectively,17,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,45,15105,technique,17,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,46,596,'s,16,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,47,1920,process,16,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,48,3230,specific,16,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,49,19241,studies,16,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,50,445,l,16,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,51,2274,develop,15,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,52,3544,large,15,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,53,4876,graph,15,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,54,19678,introduce,15,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,55,24296,furthermore,14,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,56,35390,recent,14,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,57,6677,knowledge,14,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,58,2038,information,14,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,59,9256,tasks,14,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,60,2737,including,14,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,61,3629,often,14,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,62,20682,enables,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,63,6484,existing,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,64,12914,framework,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,65,5410,standard,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,66,990,work,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,67,1268,how,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,68,3465,task,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,69,51297,employing,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,70,8776,traditional,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,71,2663,called,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,72,6485,complex,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,73,20414,approaches,13,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,74,2728,given,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,75,20124,outcomes,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,76,4669,via,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,77,1510,current,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,78,1664,well,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,79,52913,incorporating,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,80,832,one,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,81,4519,features,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,82,1234,under,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,83,21896,experiments,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,84,1606,because,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,85,2225,both,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,86,1524,even,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,87,2731,better,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,88,864,pre,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,89,12074,researchers,12,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,90,10737,adapt,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,91,9200,critical,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,92,6276,allows,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,93,3823,human,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,94,4972,prior,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,95,4245,due,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,96,1455,most,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,97,3967,known,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,98,2085,without,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,99,12190,substantial,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,100,15813,assessment,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,101,4452,however,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,102,312,re,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,103,3575,problem,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,104,5361,multiple,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,105,30828,neural,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,106,8040,developed,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,107,2686,address,11,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,108,3493,provide,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,109,8522,applications,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,110,20461,demonstrate,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,111,28605,lever,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,112,6425,solution,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,113,12912,patterns,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,114,8446,strategy,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,115,5435,problems,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,116,15174,strategies,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,117,704,out,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,118,26350,scenarios,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,119,8815,challenge,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,120,1304,make,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,121,4726,further,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,122,12207,significantly,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,123,8066,generated,10,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,124,480,g,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,125,2949,within,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,126,1766,found,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,127,305,h,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,128,5825,provides,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,129,11223,proposed,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,130,1495,text,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,131,1893,create,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,132,10550,dataset,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,133,1023,other,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,134,3686,yet,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,135,13519,indicate,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,136,5107,difficult,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,137,1972,real,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,138,1205,need,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,139,22514,robust,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,140,1296,test,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,141,26329,optimization,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,142,13488,explore,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,143,7068,generate,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,144,14955,findings,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,145,9669,limitations,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,146,6522,leading,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,147,5845,ability,9,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,148,603,us,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,149,1063,some,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,150,18885,enhance,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,151,1253,may,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,152,1148,what,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,153,2103,still,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,154,8405,providing,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,155,2391,during,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,156,5552,related,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,157,83787,advancements,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,158,4754,potential,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,159,19486,applying,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,160,17226,diverse,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,161,13239,resulting,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,162,12387,numerous,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,163,6319,designed,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,164,892,time,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,165,8720,assess,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,166,1317,long,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,167,16865,evaluation,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,168,8830,understanding,8,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
